energy,x,decayTime
16.0306785231, 50.2140815768, 346250.0
41.3119450644, 279.960066366, 348750.0
24.4345271235, 70.6810877537, 351250.0
20.6010293673, 24.5699829364, 353750.0
17.4353202216, 309.797442842, 356250.0
11.5553908817, 360.117671329, 358750.0
4.91017648442, 178.843719524, 361250.0
14.6876511103, 26.5018750064, 363750.0
9.94070773241, 282.190395292, 366250.0
18.7853392938, 203.531218358, 368750.0
40.209089349, 154.22751326, 371250.0
40.9839763611, 274.703536299, 373750.0
16.0086475467, 39.6432486677, 376250.0
15.1873011783, 265.003607129, 378750.0
22.9745903073, 147.873854126, 381250.0
13.4604801746, 324.472922625, 383750.0
17.5305598334, 71.1772034846, 386250.0
25.0884420022, 343.139344033, 388750.0
23.7159119963, 240.322735622, 391250.0
24.6991922171, 317.187806681, 393750.0
